Twitter handles
@ E s w a t i n i G o v e r n 1
@ M a l a w i G o v t
@ h a g e g e i n g o b
@ F i n a n c e S C
@ P r e s i d e n c y Z A
@ m o h z a m b i a
@ e d m n a n g a g w a
@ M i n S a n t e d j
@ h a w e l t i
@ S t a t e H o u s e K e n y a
@ P a u l K a g a m e
@ M _ F a r m a a j o
@ S o u t h S u d a n G o v
@ S u d a n P M H a m d o k
@ T Z S p o k e s p e r s o n
@ K a g u t a M u s e v e n i
@ a n g o l a _ M i r e x
@ w i l l y n y a m i t w e
@ C h e r i f _ M Z
@ P r e s i d e n c e _ R D C
@ P r e s i d e n t A B O
@ P r e s i d e n c e B e n i n
@ r o c h k a b o r e p f
@ P r e s i d e n c i a C V
@ A O u a t t a r a _ P R C I
@ P r e s i d e n c y _ G M B
@ N A k u f o A d d o
@ P r e s i d e n t _ G N
@ U S E m b a l o
@ P r e s i d e n c e M a l i
@ C h e i k h G h a z o u a n i
@ I s s o u f o u M h m
@ M B u h a r i
@ M a c k y _ S a l l
@ P r e s i d e n t B i o
@ M S P S _ T o g o
